DoctorID,Name,Specialty,Phone,DepartmentID
56,Jamaal Hildrew,Laboratory,593-131-4169,451
57,Lavena Pickaver,Cardiology,551-683-5448,489
58,Elsa Chattey,Emergency,765-846-1381,168
59,Arlen Valens-Smith,Oncology,662-101-6220,455
60,Mickey Edginton,Physical,332-661-8808,92
61,Monica Jina,Obstetrics,749-276-4778,155
62,Dennie Crittal,Pharmacy,990-573-6667,469
63,Kellen Karoly,Cardiology,460-995-3687,462
64,Beret Craine,Therapy,280-378-8126,273
65,Fidelio Pierpoint,Psychiatry,285-268-4515,387
66,Patrice Petracco,Oncology,646-285-9331,347
67,Tammie Messer,Psychiatry,372-187-4878,178
68,Romola Swidenbank,Psychiatry,275-872-5187,364
69,Eldon Dagnan,Obstetrics,317-134-7540,321
70,Natalie Elgee,Nutrition,670-424-1755,205
71,Hatty Yeardley,Nutrition,344-442-2918,37
72,Trueman Sinnocke,Orthopedics,483-610-2820,479
73,Had Grigaut,Physical,546-292-9096,379
74,Andris Sorsby,Cardiology,120-273-6400,246
75,Tripp Houten,Gynecology,136-537-6041,162
76,Rowe Dagger,Nutrition,541-249-4023,81
77,Sharl Gameson,Surgery,955-952-3269,160
78,Erika Samsworth,Therapy,904-165-8303,14
79,Nina Comusso,Surgery,333-230-2912,20
80,Lindy Scolland,Laboratory,862-212-9233,153
81,Bartlet Pilfold,Orthopedics,407-133-4798,322
82,Thoma Pochin,Unit,489-254-0104,132
83,Cob Wilkinson,Therapy,304-469-5359,384
84,Carey Glashby,Intensive,834-396-1252,205
85,Izzy Westcar,Emergency,519-337-5385,426
86,Loree McSorley,Surgery,434-698-9761,311
87,Ernesta Widmoor,Cardiology,992-305-4980,198
88,Adelind Aitchinson,Surgery,836-635-6442,187
89,Etan Logesdale,Pharmacy,768-185-7625,8
90,Christian Moorcroft,Care,757-674-6080,394
91,Grady Andreassen,Pediatrics,725-653-6838,373
92,Evita Scarre,Surgery,412-934-1361,50
93,Jon Leatt,Care,579-787-7431,240
94,Samantha Birt,Surgery,908-820-2129,175
95,Terri-jo Jaffrey,Oncology,873-791-0625,222
96,Obediah Crumpe,Physical,463-863-8437,233
97,Antin Peetermann,Nutrition,733-127-8707,26
98,Montague Fawthrop,Laboratory,501-419-9856,350
99,Montgomery Ohanessian,Intensive,427-746-4936,432
100,Susana Senn,Nutrition,776-484-1870,396
101,Norene Hulburt,Cardiology,975-564-9239,488
102,Henderson Ballefant,Oncology,434-892-7379,60
103,Bron Siflet,Orthopedics,468-325-2948,47
104,Sisely MacHostie,Physical,328-730-1083,449
105,Estel Bartholomew,Gynecology,685-224-9082,316
106,Royal Sein,Pharmacy,960-783-2704,24
107,Sindee Worcester,Laboratory,827-210-0755,116
108,Gay Schleicher,Cardiology,980-305-3051,84
109,Sidoney Bloor,Unit,700-471-5883,433
110,Chrysa Kitchenham,Intensive,223-308-4157,415
111,Estel Abrahm,Nutrition,284-678-9204,72
112,Denise Lydster,Emergency,192-953-7070,8
113,Natala Breheny,Neurology,201-266-5452,280
114,Dario Weatherhead,Orthopedics,375-476-9276,414
115,Roseanne MacGarrity,Care,432-740-9741,304
116,Elmo Pretley,Cardiology,466-215-1312,347
117,Lanette Warsap,Psychiatry,945-908-4415,185
118,Brantley Filppetti,Pediatrics,704-797-6494,82
119,Marten Niaves,Neurology,808-560-7718,443
120,Klaus Adshede,Gynecology,396-330-7411,336
121,Erl McMechan,Pharmacy,620-761-3771,166
122,Chris Galiford,Cardiology,758-256-9618,451
123,Katinka Grivori,Obstetrics,880-449-7435,287
124,Vidovic Dayborne,Gynecology,301-209-0812,181
125,Jere Pattinson,Nutrition,572-591-1776,222
126,Allyce Elcum,Obstetrics,912-301-4919,87
127,Lee Moreman,Therapy,486-224-9185,321
128,Helge Ransbury,Care,466-286-5306,60
129,Desi Scrivinor,Intensive,794-197-4756,50
130,Janine Brindley,Psychiatry,120-408-6274,244
131,Maximilien Aizikowitz,Care,177-506-1233,333
132,Gale Haglington,Intensive,578-325-0851,41
133,Jasper Brasted,Unit,691-171-9675,49
134,Moreen Freer,Nutrition,574-877-0746,198
135,Morly Sumsion,Gynecology,143-506-3764,78
136,Claire Sterte,Neurology,591-945-7965,6
137,Annalise Hayth,Emergency,855-800-7250,433
138,Glenn Paquet,Cardiology,797-126-5504,19
139,Carena Easterfield,Cardiology,775-831-6197,76
140,Tim Gildroy,Orthopedics,576-306-7569,70
141,Tarra Gillaspy,Physical,782-847-7995,162
142,Reginald Guage,Therapy,656-189-9667,348
143,Codi Tolwood,Nutrition,811-337-6035,130
144,Ammamaria Dysert,Care,656-930-8498,379
145,Bendite Maylott,Neurology,513-295-3464,451
146,Tobey Lamdin,Pharmacy,702-485-5295,390
147,Galven Asey,Therapy,447-836-1397,42
148,Conrado Asel,Obstetrics,891-308-1601,384
149,Lotta Eliez,Intensive,720-688-8789,72
150,Stanislas Fontanet,Neurology,514-790-0884,227
151,Ginny Stather,Orthopedics,839-503-0232,98
152,Gunilla Biskupek,Therapy,144-546-2231,300
153,Janeta Frazier,Orthopedics,822-391-9887,82
154,Rory O'Doogan,Nutrition,139-337-4333,334
155,Tristam Faich,Neurology,101-239-2014,298
156,Nerita Domeney,Orthopedics,774-138-3528,121
157,Ninnetta Mouncher,Oncology,803-886-8961,243
158,Gianna Tidder,Surgery,446-357-1204,4
159,Raynell Giovanetti,Surgery,322-988-2361,105
160,Rodd Veryan,Nutrition,629-306-1719,170
161,Justen Murison,Surgery,481-517-4326,135
162,Carina Coult,Gynecology,722-633-6363,233
163,Dorothee Spat,Surgery,200-352-3291,240
164,Tomi Elflain,Nutrition,546-462-3073,446
165,Cynthy Abbatucci,Laboratory,834-171-8805,354
166,Lorrayne Doog,Care,191-654-0673,361
167,Marnie Trapp,Cardiology,429-172-3435,378
168,Floyd Petrakov,Unit,653-581-1266,84
169,Bogart Thews,Intensive,326-555-7792,241
170,Ham Tarbet,Emergency,874-337-4844,425
171,Darla Skae,Cardiology,377-647-7121,39
172,Cooper Brambley,Intensive,977-676-6379,56
173,Derry Guerreiro,Obstetrics,562-912-5418,50
174,Andreana Tattersfield,Pharmacy,895-410-1968,281
175,Rawley Livingston,Orthopedics,200-495-0840,122
176,Evvy Chason,Surgery,417-593-5529,450
177,Lesya Cleveley,Gynecology,617-861-1318,108
178,Shirline Halloran,Pharmacy,403-642-2905,202
179,Daphne Carrel,Pharmacy,672-538-8682,314
180,Maudie Grinikhinov,Intensive,604-201-9668,91
181,Shantee Noon,Pediatrics,544-454-1361,348
182,Stirling Wooton,Cardiology,519-474-0232,356
183,Christophe Bowdidge,Psychiatry,931-554-1047,384
184,Ahmed Fozzard,Psychiatry,543-392-9268,43
185,Grazia Ventham,Unit,685-219-5741,449
186,Mychal Giacopelo,Psychiatry,966-297-0376,35
187,Ambrose de Broke,Laboratory,240-194-6098,239
188,Haleigh Carleton,Radiology,515-785-6141,404
189,Kittie Mechem,Surgery,653-883-5911,165
190,Mitchael Goly,Pediatrics,442-273-2515,464
191,Basile Stolworthy,Orthopedics,568-505-0192,459
192,Innis Tebbett,Radiology,704-210-4884,356
193,Whitby Adam,Intensive,686-429-9992,227
194,Laurence Witsey,Emergency,467-791-4131,232
195,Alfi Iannello,Neurology,466-961-6766,489
196,Currie Keller,Oncology,952-651-8186,358
197,Aguie Eardley,Therapy,682-635-6653,463
198,Anstice Pengilley,Radiology,505-970-1737,435
199,Malcolm Ceaplen,Neurology,327-201-3623,109
200,Alric Cambling,Cardiology,349-974-0247,441
201,Baillie Burford,Cardiology,768-593-1246,215
202,Nixie Greenhouse,Neurology,421-134-1433,268
203,Gabriella Matyushkin,Surgery,801-667-5106,317
204,Letitia Netting,Intensive,659-448-1553,413
205,Curry Mayzes,Cardiology,881-705-1758,308
206,Yevette Braybrooks,Orthopedics,710-857-6533,169
207,Amalia Thurlby,Pharmacy,407-314-5014,34
208,Tiffy Caine,Radiology,418-460-4633,196
209,Ronnica Carayol,Intensive,950-611-1829,376
210,Gustaf Santus,Unit,308-336-3291,177
211,Abey Ragate,Unit,933-231-5031,329
212,Ruddy Chase,Care,658-157-5626,64
213,Arda Tunaclift,Intensive,892-559-2020,398
214,Row Welling,Pediatrics,432-961-2006,392
215,Ange Foskett,Intensive,466-876-2468,403
216,Rosaleen Matzel,Oncology,303-177-0653,378
217,Jessalin Brodhead,Radiology,194-109-8010,119
218,Theodor Longland,Oncology,304-941-9861,417
219,See Ferrara,Cardiology,339-338-0347,441
220,Cecilla Kersey,Therapy,348-585-0359,200
221,Luce Pamphilon,Cardiology,759-518-9243,94
222,Clay Kimmitt,Oncology,505-493-6809,209
223,Abdul Maykin,Emergency,534-989-2629,177
224,Kata Crasswell,Care,257-158-2990,334
225,Everard Lambdon,Emergency,767-672-1477,185
226,Benn Cliss,Orthopedics,711-841-5884,12
227,Chrotoem Urry,Intensive,108-622-7174,423
228,Tracie Franek,Neurology,277-870-1615,125
229,Ricki Dungay,Intensive,103-531-1059,97
230,Martica Skene,Orthopedics,278-130-8165,238
231,Bridgette Dei,Unit,113-549-1723,390
232,Codi Pane,Neurology,616-668-1509,130
233,Brook Tallman,Oncology,504-904-8241,104
234,Rawley Lampitt,Neurology,189-710-5354,330
235,Jackelyn Rimmer,Pediatrics,100-814-4114,292
236,Dunstan Hutten,Therapy,672-224-1830,462
237,Margo Berka,Pharmacy,845-474-7036,435
238,Debbie Antoney,Surgery,906-645-6220,289
239,Aldrich Antic,Cardiology,748-930-7518,323
240,Hieronymus Magill,Oncology,321-698-4953,187
241,Cristal Gladtbach,Radiology,245-149-0880,476
242,Worden Langsdon,Neurology,848-552-7496,169
243,Kara-lynn McGiff,Nutrition,331-284-1694,281
244,Marcella Baldick,Gynecology,985-894-2509,62
245,Ara Wightman,Physical,812-744-5916,17
246,Isabelita Killoran,Orthopedics,117-264-3513,493
247,Sara Wakenshaw,Nutrition,477-665-0790,441
248,Andriette Pickavant,Neurology,294-286-2192,310
249,Brew Fritchley,Care,798-650-7159,55
250,Kit Eberz,Pediatrics,403-392-3855,391
251,Balduin Hedlestone,Surgery,844-543-5857,441
252,Fifi Fontes,Physical,661-205-5687,168
253,Maxim Fanner,Unit,196-663-7768,417
254,Zea Bartosiak,Unit,101-222-2092,352
255,Toby Proby,Care,453-628-3243,128
256,Rolph Gheorghe,Pediatrics,644-934-0514,210
257,Misha Domnick,Orthopedics,364-721-7772,377
258,Gloria Thornber,Obstetrics,297-289-4911,11
259,Moise Vollam,Neurology,184-259-2042,130
260,Abagael Scothron,Laboratory,574-405-7289,199
261,Cosetta Jacombs,Pharmacy,223-492-1503,203
262,Caresa Brimmicombe,Obstetrics,857-619-2163,429
263,Franz Sebright,Gynecology,136-542-1779,384
264,Karrie Layhe,Surgery,671-335-9673,134
265,Tobe Pulbrook,Laboratory,833-286-8254,171
266,Muhammad Cawthery,Care,657-790-3400,304
267,Floria Hallatt,Pharmacy,813-390-4729,317
268,Aile Aldus,Physical,911-417-0541,192
269,Terry Pryce,Obstetrics,416-166-2852,68
270,Christian Bibbie,Orthopedics,593-256-2532,83
271,Jourdan McLeod,Laboratory,930-137-4111,324
272,Jabez Dumpleton,Nutrition,204-695-1652,14
273,Nelie Cavil,Cardiology,226-870-7494,2
274,Iosep Hullyer,Obstetrics,192-362-7492,91
275,Laird Minithorpe,Surgery,430-190-9751,430
276,Guy Bruineman,Neurology,252-429-8647,499
277,Brunhilda Christauffour,Cardiology,454-691-4684,485
278,Mariele Brimblecomb,Radiology,114-478-8649,153
279,Siana Brownlie,Obstetrics,350-756-3923,401
280,Clare Hadwin,Cardiology,470-956-7443,78
281,Marcelia Struthers,Laboratory,379-837-1601,296
282,Arleen Gerriets,Intensive,568-138-9482,480
283,Kynthia Pummell,Unit,793-716-9032,363
284,Dory Bexley,Emergency,404-184-4579,193
285,Gilburt Ackers,Neurology,550-651-6714,1
286,Dee Longbone,Emergency,857-283-1501,32
287,Ancell Salandino,Unit,705-785-6140,165
288,Amory Hiskey,Therapy,194-551-9892,171
289,Morgen Uglow,Obstetrics,942-777-6296,57
290,Kore Tomlinson,Oncology,988-100-1983,300
291,Theadora Bent,Orthopedics,603-678-5279,11
292,Lesly Braam,Radiology,510-963-7502,180
293,Carlin Ferris,Nutrition,904-629-5277,101
294,Minetta Docherty,Neurology,897-621-4676,185
295,Marcelia Perillio,Emergency,159-517-4943,389
296,Brewer Whybrow,Orthopedics,383-363-1394,454
297,Trixi Daugherty,Psychiatry,505-498-9025,48
298,Trent Carl,Psychiatry,145-299-4123,445
299,Marcy Byers,Obstetrics,229-549-0916,21
300,Kinna Blucher,Therapy,531-347-0986,19
301,Melinde Cardero,Care,619-381-6122,273
302,Brittni Week,Psychiatry,149-119-2564,333
303,Hugo Mathison,Pediatrics,647-417-9898,88
304,Enrique Francescone,Neurology,678-960-3560,415
305,Zaria Paxforde,Therapy,452-505-3803,5
306,Dory Losemann,Orthopedics,970-118-1404,176
307,Emmye Bruneau,Laboratory,950-695-0843,184
308,Reed Hanne,Oncology,248-854-4559,177
309,Crosby Grafton,Emergency,193-500-6043,236
310,Ali Filippov,Physical,385-995-6328,173
311,Lucienne Harsum,Pharmacy,517-898-8031,205
312,Merle Bushell,Unit,768-689-7128,249
313,Gerri Donaghie,Psychiatry,532-805-6033,481
314,Cammi Slayford,Oncology,784-152-6478,188
315,Marge McMeanma,Obstetrics,858-424-2247,75
316,Bert Zylberdik,Psychiatry,916-416-5772,164
317,Margo Brittles,Gynecology,402-239-0908,297
318,Ailina Wayte,Psychiatry,936-779-6751,64
319,Sandie Bernon,Unit,486-128-6831,170
320,Rosina Campion,Intensive,470-111-7995,181
321,Dosi Bradder,Orthopedics,118-845-0449,315
322,Allie Gilhooley,Orthopedics,708-452-5623,39
323,Reinwald Mangeney,Physical,101-343-8301,128
324,Bree Glander,Nutrition,572-357-6354,448
325,Devora Crosseland,Emergency,435-363-9844,232
326,Drusie Matias,Therapy,949-950-9061,464
327,Quent Burnside,Care,553-855-5285,144
328,Teador Bewley,Pediatrics,763-470-0090,239
329,Reginauld Ringrose,Pediatrics,276-140-7785,277
330,Savina Kilmurray,Psychiatry,308-313-6454,365
331,Stephen Brayford,Laboratory,551-788-4895,362
332,Adolphus Ferraron,Therapy,285-225-6557,129
333,Sybyl Josefovic,Nutrition,153-295-0037,39
334,Mandel Wallbutton,Pediatrics,531-128-3669,405
335,Preston Stonhard,Care,364-332-3434,108
336,Koressa Elrick,Neurology,917-379-2691,25
337,Rebeka McPhillimey,Laboratory,941-161-2908,390
338,Valentia McNish,Obstetrics,453-941-9325,305
339,Arden Padgett,Therapy,161-756-9446,474
340,Osborne Kick,Oncology,735-689-8694,382
341,Had Darcy,Nutrition,299-729-8779,95
342,Fay Applebee,Radiology,206-173-3447,335
343,Eula Beggi,Psychiatry,478-595-7100,92
344,Marion Diboll,Pediatrics,645-261-6671,244
345,Raynell Maillard,Therapy,133-206-5603,273
346,Ludvig Jellings,Laboratory,413-544-8286,444
347,Antone Tregensoe,Psychiatry,555-780-2111,268
348,Perceval Baruch,Obstetrics,340-540-1395,480
349,Ursula Persitt,Neurology,742-221-4567,118
350,Red Davisson,Radiology,664-878-3095,175
351,Clarie Davana,Pharmacy,891-216-3977,88
352,Sherrie Bouttell,Therapy,859-138-4961,157
353,Ruddie Pallatina,Emergency,951-479-8286,441
354,Gennie Sleit,Unit,744-992-9155,28
355,Deane Fyndon,Emergency,132-887-6277,259
356,Laurena Rapelli,Radiology,275-200-6671,55
357,Alexandre McFfaden,Nutrition,507-506-3407,351
358,Gabriela Treswell,Gynecology,180-614-1239,1
359,Ian Cabera,Laboratory,621-854-2161,397
360,Annalee Florez,Intensive,985-142-9037,112
361,Sinclair Mayfield,Orthopedics,608-538-0422,173
362,Thorsten Shannon,Surgery,818-285-5309,451
363,Breanne Ianelli,Orthopedics,256-434-1508,104
364,Roscoe Guinness,Neurology,940-108-1434,240
365,Brittni Drought,Obstetrics,352-849-8851,26
366,Adrian Goublier,Pharmacy,796-243-7074,90
367,Emalia Sibylla,Neurology,877-758-4090,483
368,Packston Barrick,Unit,368-595-9017,151
369,Joletta Izakovitz,Nutrition,677-175-0062,51
370,Marcelle Wyre,Unit,738-871-7502,490
371,Jeremiah Moult,Gynecology,370-566-5228,432
372,Yale Leebetter,Nutrition,605-574-2407,329
373,Gert MacKegg,Cardiology,754-756-3014,143
374,Skelly Node,Physical,476-450-7583,203
375,Thomasa Oddy,Gynecology,638-485-5063,227
376,Guglielma Davydenko,Nutrition,185-907-5178,426
377,Morgen Stayte,Cardiology,349-237-7296,471
378,Vanni Dobbin,Obstetrics,961-834-1950,392
379,Kayla Muzzollo,Radiology,226-923-4703,230
380,Cleavland Cawkill,Gynecology,631-715-3429,52
381,Marlene Kleinber,Cardiology,605-894-3408,155
382,Billy Wimbush,Oncology,798-792-6801,332
383,Ilyse Barkes,Orthopedics,559-347-7802,50
384,Dalia Maxworthy,Physical,708-442-7533,171
385,Juline McGowan,Gynecology,765-621-7725,494
386,Sarita Tasker,Intensive,408-493-1994,5
387,Cori Waddingham,Pediatrics,828-663-5915,246
388,Paddy Harrild,Radiology,728-238-1627,455
389,Berna Joutapaitis,Psychiatry,529-461-7442,40
390,Gerianne Kynd,Cardiology,230-438-5151,342
391,Suki McGerraghty,Cardiology,869-465-1691,344
392,Devi Tilney,Obstetrics,568-908-1063,214
393,Vera Fautley,Gynecology,278-964-2940,442
394,Brinn Haselwood,Orthopedics,803-315-3284,341
395,Amity Bust,Nutrition,176-186-3698,389
396,Lilllie Hunnable,Emergency,428-605-7649,355
397,Vasily Whayman,Pediatrics,993-422-2649,251
398,Arlena Mundall,Surgery,249-213-5164,484
399,Fabe Philippsohn,Oncology,605-294-1403,337
400,Nadine Owttrim,Physical,151-429-1886,418
401,Nahum Boards,Radiology,592-710-5887,28
402,Manfred Saffell,Intensive,465-974-5343,467
403,Erik Wey,Physical,441-401-1309,352
404,Dasie Flint,Pharmacy,863-533-3241,487
405,Em Verbrugghen,Neurology,469-868-3370,83
406,Roseann Tombs,Orthopedics,734-482-9869,268
407,Herbert Hasted,Obstetrics,777-234-3846,20
408,Herminia Brevetor,Emergency,807-554-1681,369
409,Guillaume Stormouth,Care,542-629-2199,489
410,Dalenna Manicom,Physical,955-641-7514,349
411,Ava Chatters,Pharmacy,915-154-6710,394
412,Jaymie Figgins,Radiology,622-262-5092,434
413,Ernesto Ballinger,Physical,297-935-3126,81
414,Elliot Puve,Pharmacy,109-389-0958,154
415,Francisco Noddle,Physical,196-146-9507,120
416,Les Simonato,Emergency,328-478-9859,67
417,Vickie Studders,Care,678-369-5064,170
418,Erick Adlington,Radiology,960-863-9753,454
419,Krystle Neild,Psychiatry,759-867-8477,14
420,Dorena Oxterby,Unit,115-226-0951,38
421,Fair Ligoe,Gynecology,186-584-7852,172
422,Janel Woolrich,Surgery,444-311-2437,84
423,Grayce Simison,Oncology,265-196-6980,254
424,Cole Baseke,Nutrition,708-322-9039,413
425,Tandie Crosoer,Pharmacy,789-353-2895,115
426,Merwyn Ineson,Emergency,980-522-3397,380
427,Lorinda Sandyfirth,Emergency,434-150-2429,93
428,Amery Cargill,Neurology,346-757-0018,479
429,Petr Traice,Emergency,367-666-7238,242
430,Orlando Tankus,Gynecology,350-672-1656,480
431,Natalina Huc,Unit,672-923-7106,392
432,Beckie Casier,Nutrition,589-850-5165,399
433,Geraldine Bernli,Surgery,817-416-4223,441
434,Katey Nilles,Pediatrics,560-446-9002,249
435,Morgan Hasselby,Therapy,998-859-2458,103
436,Sinclair Haggeth,Neurology,941-398-8135,264
437,Feliza Zarb,Neurology,439-878-2295,36
438,Waiter Hasloch,Neurology,795-763-2606,4
439,Maxim Rouzet,Physical,564-499-9806,258
440,Antonie Rossiter,Intensive,769-494-1398,435
441,Frasquito Drinan,Oncology,426-824-9158,27
442,Alvina Gaudon,Intensive,521-898-5373,40
443,Drona Di Gregorio,Neurology,546-331-1208,124
444,Bentlee Pickvance,Nutrition,274-280-3928,24
445,Emmie Abbate,Orthopedics,630-455-6613,373
446,Josey Charters,Orthopedics,832-770-3894,94
447,Carmencita Capel,Pharmacy,498-300-9469,215
448,Marget Steggles,Psychiatry,428-785-4513,412
449,Renault Collett,Pediatrics,992-571-5541,116
450,Moll Klementz,Laboratory,983-465-8747,474
451,Bearnard McGuinley,Emergency,204-330-8085,419
452,Debor Mugglestone,Nutrition,950-594-9907,23
453,Merilee Harrell,Psychiatry,593-583-6102,428
454,Bev Byfford,Psychiatry,658-736-1369,478
455,Gram Vaneschi,Obstetrics,956-348-0591,365
456,Edwina Charnock,Oncology,246-727-2668,199
457,Artur Bassil,Obstetrics,484-895-1675,48
458,Melania Geleman,Oncology,469-103-5494,486
459,Angel Laise,Pharmacy,745-755-9840,393
460,Sianna Sylvaine,Psychiatry,579-107-4077,331
461,Aldric Louiset,Laboratory,289-326-6883,402
462,Wolfy Suttaby,Unit,974-729-9393,64
463,Annmarie Bartosinski,Intensive,772-807-8527,219
464,Quintina Stegers,Gynecology,253-789-0656,221
465,Iorgo Tuffey,Oncology,939-235-3862,136
466,Sal Casey,Radiology,454-397-3608,3
467,Sinclare Corro,Radiology,370-209-1744,60
468,Meryl Brabon,Therapy,604-403-0149,364
469,Herman Staig,Radiology,750-933-2032,160
470,Art Antoniewski,Gynecology,130-961-2392,114
471,Alexandrina Wickling,Laboratory,952-342-4105,133
472,Livvie Bengough,Surgery,127-483-5758,398
473,Esme Sprowson,Unit,791-179-0300,202
474,Hilton Wickie,Psychiatry,761-982-8877,256
475,Janina Van der Brugge,Obstetrics,892-361-2314,216
476,Marybeth Greenset,Nutrition,214-231-6422,223
477,Tore Iddens,Unit,406-396-8099,188
478,Loralee Gillion,Therapy,504-382-1074,43
479,Shaughn Fleetwood,Psychiatry,392-512-0145,422
480,Larina Clues,Neurology,746-900-1212,351
481,Torrin Bennington,Unit,153-150-8547,492
482,Dwayne Tapton,Gynecology,141-284-5544,46
483,Ulric Dumbarton,Pediatrics,360-355-2767,363
484,Koren Osbourne,Pharmacy,985-538-6810,316
485,Milly Lashford,Radiology,324-481-1728,210
486,Washington Benet,Nutrition,503-241-9678,177
487,Sidonia Bricksey,Pharmacy,368-805-3142,187
488,Jon Marzellano,Care,627-249-9989,233
489,Kettie Keepe,Unit,820-586-2475,485
490,Lorain Loudiane,Oncology,213-722-5904,108
491,Raul McGonigal,Care,577-286-0910,212
492,Any Lyttle,Pharmacy,701-937-3637,250
493,Shena Willimot,Cardiology,849-987-4258,439
494,Madelena Dunne,Neurology,672-597-1295,225
495,Karlen Mournian,Oncology,110-140-4700,310
496,Aylmar Pirot,Care,701-785-0212,275
497,Kristofor Beynkn,Gynecology,378-132-7828,129
498,Charla Mitkin,Psychiatry,330-936-3826,427
499,Nev Plampeyn,Emergency,288-795-0528,296
500,Husain Archdeckne,Orthopedics,336-640-0463,78
